"year","flo","flo_corr","flo_recon","meantemp_febtoapr"
"1721","107","109","121","2"
"1722","84","86","113","4"
"1723","91","93","113","5"
"1724","112","114","117","3"
"1725","104","106","121","3"
"1726","113","115","119","3"
"1727","101","103","117","4"
"1728","97","99","113","5"
"1729","123","125","122","2"
"1730","112","114","114","4"
"1731","125","127","121","1"
"1732","102","104","111","5"
"1733","104","106","110","4"
"1734","93","95","108","6"
"1735","100","102","112","4"
"1736","98","100","116","4"
"1737","110","112","115","4"
"1738","104","106","113","4"
"1739","119","120","113","4"
"1740","142","143","135","0"
"1741","110","111","120","3"
"1742","117","118","121","2"
"1743","117","118","120","3"
"1744","111","112","120","2"
"1745","96","97","120","3"
"1746","110","111","125","2"
"1747","107","108","116","4"
"1748","118","119","128","0"
"1749","96","97","120","3"
"1750","117","118","108","5"
"1751","117","118","118","3"
"1752","111","112","118","3"
"1753","85","86","115","4"
"1754","117","118","125","1"
"1755","98","99","119","3"
"1756","105","106","116","3"
"1757","114","115","114","4"
"1758","103","104","117","3"
"1759","79","80","112","4"
"1760","99","100","116","4"
"1761","101","102","110","5"
"1762","107","108","116","3"
"1763","102","103","114","4"
"1764","95","96","116","3"
"1765","114","115","117","3"
"1766","116","114","117","3"
"1767","120","118","115","4"
"1768","106","104","118","3"
"1769","120","118","116","3"
"1770","133","131","123","2"
"1771","125","123","126","2"
"1772","103","101","114","4"
"1773","113","111","119","3"
"1774","96","94","111","5"
"1775","114","112","111","5"
"1776","105","103","111","5"
"1777","106","104","119","3"
"1778","103","101","117","3"
"1779","101","99","106","5"
"1780","118","116","116","3"
"1781","96","94","108","5"
"1782","124","122","124","2"
"1783","103","101","113","4"
"1784","127","125","126","1"
"1785","130","131","132","0"
"1786","113","115","118","3"
"1787","115","117","113","4"
"1788","111","113","115","5"
"1789","121","123","119","3"
"1790","112","114","113","3"
"1791","102","104","110","4"
"1792","102","104","111","5"
"1793","115","117","117","3"
"1794","91","93","102","6"
"1795","116","118","116","3"
"1796","112","114","117","3"
"1797","112","114","115","3"
"1798","106","108","112","4"
"1799","127","129","120","3"
"1800","113","115","116","3"
"1801","109","111","113","5"
"1802","114","116","114","4"
"1803","98","99","116","3"
"1804","113","114","121","2"
"1805","120","121","119","3"
"1806","107","108","117","3"
"1807","121","122","121","2"
"1808","125","126","127","0"
"1809","114","115","116","3"
"1810","109","110","118","3"
"1811","96","97","110","5"
"1812","120","121","119","3"
"1813","102","103","112","4"
"1814","107","108","123","2"
"1815","94","95","109","5"
"1816","117","118","122","2"
"1817","129","130","117","4"
"1818","112","113","115","3"
"1819","103","103","112","4"
"1820","108","108","115","3"
"1821","116","116","114","3"
"1822","105","105","106","6"
"1823","122","122","117","4"
"1824","124","124","117","3"
"1825","115","115","116","3"
"1826","91","91","111","5"
"1827","118","118","120","4"
"1828","110","113","113","4"
"1829","107","110","120","2"
"1830","79","82","116","4"
"1831","118","121","111","4"
"1832","106","109","117","4"
"1833","119","122","116","3"
"1834","110","113","117","4"
"1835","109","112","115","4"
"1836","112","115","116","3"
"1837","128","131","126","1"
"1838","121","124","126","2"
"1839","121","122","123","2"
"1840","114","115","119","2"
"1841","100","101","116","4"
"1842","NA","115","118","3"
"1843","133","134","116","4"
"1844","NA","115","118","3"
"1845","125","126","130","0"
"1846","107","108","109","5"
"1847","113","114","123","2"
"1848","107","108","112","4"
"1849","114","115","116","3"
"1850","130","131","115","4"
"1851","126","127","115","3"
"1852","116","117","120","2"
"1853","134","135","130","1"
"1854","100","107","116","3"
"1855","110","117","128","2"
"1856","102","109","114","3"
"1857","109","116","120","2"
"1858","111","118","125","3"
"1859","89","96","115","4"
"1860","118","125","123","1"
"1861","98","105","111","4"
"1862","89","96","108","5"
"1863","101","108","111","4"
"1864","105","112","120","3"
"1865","105","112","124","2"
"1866","98","105","111","4"
"1867","100","107","113","4"
"1868","101","108","114","4"
"1869","102","109","111","4"
"1870","111","118","127","3"
"1871","99","106","117","4"
"1872","95","102","109","5"
"1873","93","100","111","3"
"1874","102","109","113","4"
"1875","126","122","125","1"
"1876","130","126","114","4"
"1877","132","129","118","3"
"1878","126","123","115","4"
"1879","137","134","120","3"
"1880","122","119","110","4"
"1881","106","109","123","3"
"1882","97","100","114","5"
"1883","114","116","121","2"
"1884","94","97","109","4"
"1885","109","112","113","4"
"1886","109","112","121","2"
"1887","118","121","123","2"
"1888","121","124","126","1"
"1889","123","126","125","1"
"1890","107","110","120","2"
"1891","122","125","125","2"
"1892","102","105","120","2"
"1893","100","103","111","5"
"1894","106","111","107","5"
"1895","107","112","128","1"
"1896","106","111","115","4"
"1897","86","91","110","5"
"1898","106","111","112","3"
"1899","93","98","116","4"
"1900","113","118","119","3"
"1901","113","118","125","1"
"1902","102","107","116","4"
"1903","86","91","117","3"
"1904","104","109","113","4"
"1905","102","107","117","3"
"1906","103","108","120","2"
"1907","105","110","126","1"
"1908","119","124","119","2"
"1909","109","114","121","2"
"1910","105","110","114","3"
"1911","107","112","114","3"
"1912","86","91","109","5"
"1913","90","95","112","4"
"1914","99","104","112","5"
"1915","117","122","120","2"
"1916","97","102","113","4"
"1917","124","129","129","0"
"1918","103","108","112","4"
"1919","112","117","121","2"
"1920","90","95","109","5"
"1921","92","97","113","3"
"1922","111","116","119","3"
"1923","98","103","109","4"
"1924","115","120","122","2"
"1925","104","109","115","3"
"1926","99","104","103","6"
"1927","108","113","111","4"
"1928","105","110","109","4"
"1929","122","127","129","0"
"1930","109","114","111","4"
"1931","116","121","124","1"
"1932","120","125","123","1"
"1933","112","117","114","3"
"1934","106","111","107","4"
"1935","106","111","118","2"
"1936","100","105","111","3"
"1937","101","106","114","3"
"1938","91","96","114","3"
"1939","105","110","112","3"
"1940","112","117","122","3"
"1941","116","121","116","3"
"1942","114","119","122","2"
"1943","102","107","107","5"
"1944","109","114","122","2"
"1945","92","97","105","6"
"1946","96","101","106","5"
"1947","107","112","120","4"
"1948","88","93","106","5"
"1949","107","112","113","4"
"1950","100","105","112","4"
"1951","105","105","115","3"
"1952","109","109","113","4"
"1953","108","108","112","4"
"1954","124","124","119","3"
"1955","119","119","123","2"
"1956","120","120","129","0"
"1957","105","105","106","6"
"1958","124","124","124","2"
"1959","107","107","108","5"
"1960","105","105","112","4"
"1961","98","98","104","6"
"1962","119","119","122","2"
"1963","122","122","121","2"
"1964","113","113","112","4"
"1965","122","122","121","2"
"1966","110","110","109","5"
"1967","113","113","113","4"
"1968","110","110","111","4"
"1969","119","119","121","2"
"1970","127","127","125","1"
"1971","114","114","115","3"
"1972","111","111","107","5"
"1973","124","124","121","2"
"1974","103","103","105","5"
"1975","119","119","116","4"
"1976","114","114","115","4"
"1977","111","111","110","5"
"1978","121","121","117","3"
"1979","126","126","116","3"
"1980","120","120","115","4"
"1981","114","114","113","5"
"1982","121","121","117","3"
"1983","115","115","115","4"
"1984","118","118","118","2"
"1985","123","123","120","3"
"1986","125","125","124","1"
"1987","118","118","119","3"
"1988","117","117","116","4"
"1989","105","105","107","5"
"1990","105","105","107","6"
"1991","115","115","115","4"
"1992","116","116","110","4"
"1993","114","114","114","4"
"1994","110","110","108","5"
"1995","112","112","111","5"
"1996","114","114","NA","NA"
"1997","105","105","NA","NA"
"1998","114","114","NA","NA"
"1999","111","111","NA","NA"
"2000","111","111","NA","NA"
"2001","109","109","NA","NA"
"2002","98","98","NA","NA"
"2003","107","107","NA","NA"
"2004","110","110","NA","NA"
"2005","109","109","NA","NA"
"2006","117","117","NA","NA"
"2007","103","103","NA","NA"
"2008","114","114","NA","NA"
"2009","110","110","NA","NA"
"2010","111","110","NA","NA"
"2011","100","100","NA","NA"
"2012","107","107","NA","NA"
